ID,4CO_ID,Status,Name,Num turbines,Turbine capacity,Total IC,Composite,Shares IC with,Cluster,Commission year,Commission month,area,centroid_lon,centroid_lat,IC_density,turbine_density,shared_area,IC_numeric,num_turbines_numeric
239,UK20,Operational,Robin Rigg,58,3.0,174,,239.0,239,2010.0,4.0,18.17963632274992,-3.7098382546585613,54.75615391906359,9.571148559350284,3.1903828531167613,18.17963632274992,174.0,58.0
240,IM01,Concept,Mooir Vannin,100,,1400,,240.0,240,2032.0,12.0,246.9015097388011,-4.086695054057174,54.23011115406371,5.670277194663856,0.4050197996188469,246.9015097388011,1400.0,100.0
241,UK5C,Concept,Morgan,96,,1500,,241.0,214,2030.0,1.0,269.708214545188,-4.00012020617954,53.992695148474155,5.561565866762593,0.35594021547280597,269.708214545188,1500.0,96.0
242,UK63,Operational,Walney Extension,87,,659,242.0,242.0,242,2018.0,6.0,145.86472325707342,-3.735684787959843,54.08924215149498,4.51788468990252,0.5964430470736255,145.86472325707342,659.0,87.0
243,UK32,Operational,Walney Phase 2,51,3.6,183.6,242.0,243.0,242,2012.0,3.0,44.69029021724339,-3.6024082566344386,54.08233517956338,4.108274954302253,1.1411874873061814,44.69029021724339,183.6,51.0
244,UK31,Operational,Walney Phase 1,51,3.6,183.6,242.0,244.0,242,2011.0,7.0,26.514870360532633,-3.511251223369224,54.04218924136546,6.924416280506824,1.923448966807451,26.514870360532633,183.6,51.0
245,UK33,Operational,West of Duddon Sands,108,3.6,389,,245.0,242,2014.0,10.0,64.3265962992282,-3.462784702826333,53.9854717081691,6.047265398444022,1.678932295711965,64.3265962992282,389.0,108.0
246,UK17,Operational,Ormonde,30,5.0,150,,246.0,246,2012.0,2.0,10.002119048383609,-3.435671176373743,54.08886530961286,14.996822100836795,2.999364420167359,10.002119048383609,150.0,30.0
247,UK01,Operational,Barrow,30,3.0,90,,247.0,247,2006.0,9.0,10.014092527842083,-3.2949582393870545,53.992360662826144,8.987334573729362,2.99577819124312,10.014092527842083,90.0,30.0
248,UK5B,Concept,Morecambe,35,,480,,248.0,248,,,84.82172827738664,-3.5720733854929674,53.7958452370031,5.6589273733056835,0.41263012097020607,84.82172827738664,480.0,35.0
249,UK5A,Concept,Mona,107,,1500,,249.0,249,,,288.8253533913733,-3.9374180466483852,53.70790925537052,5.19344989069371,0.370466092202818,288.8253533913733,1500.0,107.0
250,UK09,Operational,Gwynt y Mor,160,3.6,576,,250.0,250,2015.0,6.0,28.823184859185236,-3.5294213823033878,53.46624759697046,19.98391235437825,5.55108676510507,66.309750028097,250.37275018916486,70.0
251,UK09,Operational,Gwynt y Mor,,,,,250.0,250,2015.0,6.0,37.48656516891176,-3.6279094644886896,53.45719934738265,,,66.309750028097,325.6272498108351,90.0
252,UK4D,Consent Authorised,Awel y Môr,34-50,,300-1100,251.0,252.0,250,2030.0,1.0,81.51066225153987,-3.7576544803784255,53.46442993420547,8.58783355041108,0.5152700130246648,81.51066225153987,700.0,42.0
253,UK16,Operational,North Hoyle,30,2.0,60,,253.0,253,2004.0,6.0,8.67838158648435,-3.447546260496745,53.41946416110718,6.913731483465024,3.456865741732512,8.67838158648435,59.99999999999999,30.0
254,UK19,Operational,Rhyl Flats,25,3.6,90,,254.0,254,2009.0,12.0,9.68931255950746,-3.647443869006114,53.38281666575765,9.28858465936153,2.580162405378203,9.68931255950746,90.0,25.0
255,UK02,Operational,Burbo Bank,25,3.6,90,,255.0,255,2007.0,10.0,9.556876529593712,-3.1860912207399568,53.48929345047951,9.417302789390137,2.6159174414972606,9.556876529593712,90.0,25.0
256,UK59,Operational,Burbo Bank Extension,32,8.0625,258,,256.0,256,2017.0,4.0,39.35289099668907,-3.2721844566621305,53.48474146377179,6.5560621714350455,0.8131549980074475,39.35289099668907,258.0,32.0
