ID,4CO_ID,Status,Name,Num turbines,Turbine capacity,Total IC,Composite,Shares IC with
0,UK12,Operational,Kentish Flats,30,3,90,0,
1,UK60,Operational,Kentish Flats Extension,15,3.3,49.5,0,
2,UK29,Operational,Thanet,100,3,300,,
3,UK14,Operational,London Array,175,3.6,630,,
4,UK73,Operational,Gunfleet Sands 3 - Demonstration Project,2,6,12,5,
5,UK07,Operational,Gunfleet Sands,48,3.6,172.8,5,
6,FR68,Concept,Dunkerque,25-46,,598,,
7,BE15,Development Zone,Princess Elisabeth - Nordhinder Zuid,,,1400,,
8,BE14,Development Zone,Princess Elisabeth - Noordhinder Noord,,,700,,
9,BE07,Operational,Seamade (Mermaid),28,8.39285714285714,235,,
10,BE12,Operational,Northwester 2,23,9.52173913043478,219,,
11,BE08,Operational,Nobelwind_1,10,3.3,33,11,
12,BE03,Operational,Belwind,55,3,165,11,
13,BE08,Operational,Nobelwind_2,40,3.3,132,11,
14,BE06,Operational,Seamade (SeaStar),30,8.4,252,,
15,BE02,Operational,Northwind,72,3,216,,
16,BE05,Operational,Rentel,42,7.35714285714286,309,,
17,BE09,Operational,Thornton Bank – phase II,24,6.15,147.6,,
18,BE10,Operational,Thornton Bank – phase III,12,6.15,73.8,18,
19,BE09,Operational,Thornton Bank – phase II,6,6.15,36.9,18,
20,BE10,Operational,Thornton Bank – phase III,6,6.15,36.9,18,
21,BE01,Operational,Thornton Bank – phase I,6,5,30,18,
22,BE04,Operational,Norther,44,8.4,369.6,,
23,NL0B,Operational,Borssele 1 and 2,47,8,376,,
24,NL0J,Operational,Borssele 3 and 4 – Blauwwind,24,9.5,228,,
25,NL0J,Operational,Borssele 3 and 4 – Blauwwind,13,9.5,123.5,,
26,NL0J,Operational,Borssele 3 and 4 – Blauwwind,12,9.5,114,,
27,NL0J,Operational,Borssele 3 and 4 – Blauwwind,16,9.5,152,,
28,NL0J,Operational,Borssele 3 and 4 – Blauwwind,12,9.5,114,,
29,NL88,Operational,Borssele Site V -Leeghwater - Innovation Plot,2,9.5,19,,
30,NL0B,Operational,Borssele 1 and 2,16,8,128,,
31,NL0B,Operational,Borssele 1 and 2,5,8,40,,
32,NL0B,Operational,Borssele 1 and 2,3,8,24,,
33,NL0B,Operational,Borssele 1 and 2,23,8,184,,
34,UK05,Operational,Greater Gabbard,38,3.6,136.8,34,
35,UK62,Operational,Galloper,18,6.3,113.4,34,
36,UK4J,Concept,North Falls,72,7,504,34,
37,UK4I,Concept,Five Estuaries,48-79,,353,34,
38,UK05,Operational,Greater Gabbard,102,3.6,367.2,38,
39,UK62,Operational,Galloper,38,6.3,239.4,38,
40,UK4J,Concept,North Falls,,,,38,36
41,UK4I,Concept,Five Estuaries,,,,38,37
42,UK39,Consent Authorised,East Anglia Hub – TWO,64,,900-940,,
43,UK64,Operational,East Anglia ONE,102,7,714,,
44,UK2Q,Consent Authorised,East Anglia Hub – ONE North,41,14.6341463414634,600,,
45,NL0E,Under Construction,Hollandse Kust Zuid Holland III and IV,20,11,220,,
46,NL0E,Under Construction,Hollandse Kust Zuid Holland III and IV,15,11,165,,
47,NL0D,Under Construction,Hollandse Kust Zuid Holland I and II,35,11,385,,
48,NL0E,Under Construction,Hollandse Kust Zuid Holland III and IV,16,11,176,,
49,NL0E,Under Construction,Hollandse Kust Zuid Holland III and IV,9,11,99,,
50,NL0D,Under Construction,Hollandse Kust Zuid Holland I and II,24,11,264,,
51,NL0D,Under Construction,Hollandse Kust Zuid Holland I and II,5,11,55,,
52,NL0D,Under Construction,Hollandse Kust Zuid Holland I and II,5,11,55,,
53,NL0E,Under Construction,Hollandse Kust Zuid Holland III and IV,10,11,110,,
54,NL32,Operational,Eneco Luchterduinen,43,3,129,,
55,NL02,Operational,Egmond aan Zee,36,3,108,,
56,NL0F,Under Construction,Hollandse Kust Noord,69,11,759,,
57,NL1F,Development Zone,Hollandse Kust West VIII,,,700,,
58,NL1Q,Consent Authorised,Hollandse Kust West VII,76,10,760,,
59,NL0O,Consent Authorised,Hollandse Kust West VI,54,,693-756,,
60,NL0V,Development Zone,IJmuiden Ver - Designated Wind Energy Area,60-90,,,,
61,NL0Q,Development Zone,IJmuiden Ver - Site I,,,1000,,
62,NL0R,Development Zone,IJmuiden Ver - Site II,,,1000,,
63,NL0S,Development Zone,IJmuiden Ver - Site III,,,1000,,
64,NL0T,Development Zone,IJmuiden Ver - Site IV,,,1000,,
65,UK66,Consent Authorised,East Anglia Hub – THREE,95,14.7368421052632,1400,,
66,UK67,Consent Authorised,Norfolk Vanguard,120-128,,1800,,
67,UK69,Consent Authorised,Norfolk Boreas,129,13.953488372093,1800,,
68,UK67,Consent Authorised,Norfolk Vanguard,,,,66,
69,NL1T,Development Zone,Nederwiek Zuid I,,,2000,,
70,UK23,Operational,Scroby Sands,30,2,60,,
71,UK11,Operational,Inner Dowsing,27,3.6,97.2,,
72,UK13,Operational,Lincs,3,3.6,10.8,71,
73,UK15,Operational,Lynn,27,3.6,97.2,,
74,UK13,Operational,Lincs,72,3.6,259.2,73,
75,UK18,Operational,Race Bank,91,6.3,573.3,,
76,UK27,Operational,Sheringham Shoal,88,3.6,316.8,,
77,UK4H,Consent Application Submitted,Sheringham Shoal Extension,27,11.7407407407407,317,76,
78,UK04,Operational,Dudgeon,67,6,402,,
79,UK4G,Consent Application Submitted,Dudgeon Extension,34,11.8235294117647,402,78,
80,UK4G,Consent Application Submitted,Dudgeon Extension,,,,78,79
81,UK30,Operational,Triton Knoll,90,9.52222222222222,857,,
82,UK4Z,Concept,Outer Dowsing,75-100,,1500,,
83,UK10,Operational,Humber Gateway,73,3,219,,
84,UK34,Operational,Westermost Rough,35,6,210,,
85,UK1U,Operational,Hornsea Project Two,165,8.4,1386,85,
86,UK81,Operational,Hornsea Project One,174,7,1218,85,
87,UK1K,Consent Authorised,Hornsea Project Three,200-231,,2852,,
88,NL0X,Development Zone,Ijmuiden Ver - Site V,67,14.9253731343284,1000,,
89,NL1R,Development Zone,Ijmuiden Ver - Site VI,67,14.9253731343284,1000,89,
90,NL1I,Development Zone,Lagelander,,,4000,89,
91,NL1P,Development Zone,Wind Energy Search Area 8,,,2000,,
92,NL1S,Development Zone,Nederwiek Noord II,,,2000,,
93,NL1H,Development Zone,Nederwiek Noord III,,,2000,,
94,NL1J,Development Zone,Wind Energy Search Area 3,,,,,
95,UK1J,Consent Application Submitted,Hornsea Project Four,180,14.4444444444444,2600,,
96,UK4Y,Concept,Dogger Bank South (DBS East),150,10,1500,,
97,UK4X,Concept,Dogger Bank South (DBS West),150,10,1500,96,
98,UK80,Under Construction,Dogger Bank A,95,13,1235,,
99,UK0V,Pre-Construction,Dogger Bank B,95,13,1235,,
100,UK1G,Pre-Construction,Sofia,100,14,1400,,
101,UK1F,Pre-Construction,Dogger Bank C,87,14,1218,,
102,UK28,Operational,Teesside,27,2.3,62.1,,
103,UK70,Operational,Blyth Offshore Demonstrator - phase 1,5,8.3,41.5,,
104,UK79,Consent Authorised,Blyth Offshore Demonstrator - phase 2,5,11.68,58.4,,
105,UK79,Consent Authorised,Blyth Offshore Demonstrator - phase 2,,,,,104
106,NL1O,Development Zone,Wind Energy Search Area 7,,,8000,,
107,NL1N,Development Zone,Wind Energy Search Area 6,,,10000,,
