ID,4CO_ID,Status,Name,Num turbines,Turbine capacity,Total IC,Composite,Shares IC with,Cluster,Commission year,Commission month,Owner,area,centroid_lon,centroid_lat,IC_density,turbine_density,shared_area,IC_numeric,num_turbines_numeric
0,UK12,Operational,Kentish Flats,30,3.0,90,0.0,0.0,0,2005.0,9.0,Vattenfall,9.929495016383232,1.112134611596811,51.44884529646723,9.063905047689126,3.0213016825630423,9.929495016383232,90.0,30.0
1,UK60,Operational,Kentish Flats Extension,15,3.3,49.5,0.0,1.0,0,2015.0,12.0,Vattenfall,7.654818073448739,1.0984361197111563,51.43886837050845,6.466515536364494,1.9595501625346954,7.654818073448739,49.5,15.0
2,UK29,Operational,Thanet,100,3.0,300,,2.0,2,2010.0,9.0,Vattenfall,33.36911882829202,1.646801287358318,51.426565440246215,8.990348278110506,2.9967827593701686,33.36911882829202,300.0,100.0
3,UK14,Operational,London Array,175,3.6,630,,3.0,3,2013.0,7.0,RWE and others,102.75633581820068,1.5033732725656945,51.62166922725862,6.131008808202476,1.7030580022784656,102.75633581820068,630.0,175.0
4,UK73,Operational,Gunfleet Sands 3 - Demonstration Project,2,6.0,12,5.0,4.0,4,2013.0,9.0,Orsted,2.5622341638599933,1.1986173654402554,51.69451210491047,4.683412690868995,0.7805687818114991,2.5622341638599933,12.0,2.0
5,UK07,Operational,Gunfleet Sands,48,3.6,172.8,5.0,5.0,4,2010.0,6.0,Orsted and others,15.398562153640524,1.235233630219139,51.72098895722059,11.221826965133019,3.117174156981394,15.398562153640524,172.8,48.0
6,FR68,Concept,Dunkerque,25-46,,598,,6.0,6,2028.0,12.0,"EDF, RWE and others",64.54954088891142,2.382508480178893,51.180512842198084,9.264202219952997,0.5499651819537315,64.54954088891142,598.0,36.0
7,BE15,Development Zone,Princess Elisabeth - Nordhinder Zuid,,,1400,,7.0,7,,,,227.00384187325128,2.4429957268503335,51.47701599425595,6.167296502328348,,227.00384187325128,1400.0,
8,BE14,Development Zone,Princess Elisabeth - Noordhinder Noord,,,700,,8.0,8,,,,43.769454046244505,2.5582753004705836,51.6244237991352,15.992888539583262,,43.769454046244505,700.0,
9,BE07,Operational,Seamade (Mermaid),28,8.39285714285714,235,,9.0,9,2020.0,12.0,Varoius,14.607078611636009,2.7374550013576755,51.72228721539557,16.088090318949803,1.9168788465131679,14.607078611636009,235.0,28.0
10,BE12,Operational,Northwester 2,23,9.52173913043478,219,,10.0,9,2020.0,5.0,Various,10.23245740610173,2.7511246975228936,51.69124603486881,21.402483421959598,2.2477494004797753,10.23245740610173,219.0,23.0
11,BE08,Operational,Nobelwind_1,10,3.3,33,11.0,11.0,9,2017.0,5.0,Various,6.610637451071923,2.783779208939481,51.68138028343243,4.991954292493988,1.5127134219678753,6.610637451071923,33.0,10.0
12,BE03,Operational,Belwind,55,3.0,165,11.0,12.0,9,2010.0,12.0,Various,12.460441492991196,2.799498206304166,51.6733265994429,13.241906403782718,4.413968801260906,12.460441492991196,165.0,55.0
13,BE08,Operational,Nobelwind_2,40,3.3,132,11.0,13.0,9,2017.0,5.0,Various,15.40328769814093,2.8245958818863652,51.664148584096665,8.569599074354203,2.5968482043497585,15.40328769814093,132.0,40.0
14,BE06,Operational,Seamade (SeaStar),30,8.4,252,,14.0,9,2020.0,12.0,Various,16.60896597787899,2.8572111070834234,51.63868957446562,15.17252791869353,1.8062533236539917,16.60896597787899,251.99999999999997,30.0
15,BE02,Operational,Northwind,72,3.0,216,,15.0,9,2014.0,6.0,Various,12.878626432825545,2.8977347836164706,51.62390178948585,16.771974956075347,5.590658318691782,12.878626432825545,216.0,72.0
16,BE05,Operational,Rentel,42,7.35714285714286,309,,16.0,9,2018.0,12.0,Various,21.56600413272804,2.9403903861572096,51.595948583036694,14.328106314839713,1.9475095961918059,21.56600413272804,309.0,42.0
17,BE09,Operational,Thornton Bank – phase II,24,6.15,147.6,,17.0,9,2013.0,1.0,EDF and others,8.70378381113985,2.980455199449331,51.56706832182525,16.958141792433864,2.7574214296640434,8.70378381113985,147.6,24.0
18,BE10,Operational,Thornton Bank – phase III,12,6.15,73.8,18.0,18.0,9,2013.0,9.0,RWE and others,5.012472866672715,2.911719088411627,51.547716852127756,14.72327171897262,2.394027921784166,5.012472866672715,73.8,12.0
19,BE09,Operational,Thornton Bank – phase II,6,6.15,36.9,18.0,19.0,9,2013.0,1.0,EDF and others,3.0948697607339986,2.9140837951130822,51.53870766096728,11.922957297966738,1.9386922435718272,3.0948697607339986,36.9,6.0
20,BE10,Operational,Thornton Bank – phase III,6,6.15,36.9,18.0,20.0,9,2013.0,9.0,RWE and others,1.7004250720776704,2.9326352871363355,51.530577684455025,21.70045631879187,3.5285294827303852,1.7004250720776704,36.9,6.0
21,BE01,Operational,Thornton Bank – phase I,6,5.0,30,18.0,21.0,9,2009.0,5.0,"EDF, RWE and others",0.7989113952079017,2.928733333626534,51.5485536975614,37.55109788137778,7.5102195762755555,0.7989113952079017,30.0,6.0
22,BE04,Operational,Norther,44,8.4,369.6,,22.0,9,2019.0,6.0,Various,37.558031968952506,3.009138209556614,51.530674134301435,9.840771217872419,1.1715203830800498,37.558031968952506,369.6,44.0
23,NL0B,Operational,Borssele 1 and 2,47,8.0,376,,23.0,9,2020.0,11.0,Orsted and others,60.928366545088956,3.0641882796830053,51.6396304436876,6.17118136134091,0.7713976701676137,60.928366545088956,376.0,47.0
24,NL0J,Operational,Borssele 3 and 4 – Blauwwind,24,9.5,228,,24.0,9,2021.0,1.0,Shell Wind Energy Ltd and others,44.70545687247054,2.981443056934756,51.66297965538763,5.100048538826176,0.5368472146132817,44.70545687247054,228.0,24.0
25,NL0J,Operational,Borssele 3 and 4 – Blauwwind,13,9.5,123.5,,25.0,9,2021.0,1.0,Shell Wind Energy Ltd and others,17.697067127077425,2.93019043595098,51.69757576023514,6.978557470183217,0.7345849968613912,17.697067127077425,123.50000000000001,13.0
26,NL0J,Operational,Borssele 3 and 4 – Blauwwind,12,9.5,114,,26.0,9,2021.0,1.0,Shell Wind Energy Ltd and others,19.48482056215296,2.876634976510801,51.71283339030328,5.850708228816434,0.6158640240859405,19.48482056215296,114.0,12.0
27,NL0J,Operational,Borssele 3 and 4 – Blauwwind,16,9.5,152,,27.0,9,2021.0,1.0,Shell Wind Energy Ltd and others,23.152270014105316,2.8398708710066765,51.744365882222375,6.5652309647129785,0.6910769436539977,23.152270014105316,152.0,16.0
28,NL0J,Operational,Borssele 3 and 4 – Blauwwind,12,9.5,114,,28.0,9,2021.0,1.0,Shell Wind Energy Ltd and others,13.354232762079404,2.940064889348894,51.771950044578624,8.53661921512359,0.8985914963287989,13.354232762079404,114.0,12.0
29,NL88,Operational,Borssele Site V -Leeghwater - Innovation Plot,2,9.5,19,,29.0,9,2021.0,2.0,Shell Wind Energy Ltd and others,0.6895373202152247,2.9990825477200076,51.71320195486726,27.554708705352663,2.900495653195017,0.6895373202152247,19.0,2.0
30,NL0B,Operational,Borssele 1 and 2,16,8.0,128,,30.0,9,2020.0,11.0,Orsted and others,16.59067999977883,3.01822829087746,51.76905190276781,7.715175026081292,0.9643968782601615,16.59067999977883,128.0,16.0
31,NL0B,Operational,Borssele 1 and 2,5,8.0,40,,31.0,9,2020.0,11.0,Orsted and others,3.252511554962809,3.0300860123571187,51.73828174641127,12.298188438090692,1.5372735547613365,3.252511554962809,40.0,5.0
32,NL0B,Operational,Borssele 1 and 2,3,8.0,24,,32.0,9,2020.0,11.0,Orsted and others,2.2708792319423194,3.07376641196302,51.779207449908455,10.56859372458676,1.321074215573345,2.2708792319423194,24.0,3.0
33,NL0B,Operational,Borssele 1 and 2,23,8.0,184,,33.0,9,2020.0,11.0,Orsted and others,23.92284455180655,3.0862655625292037,51.73472644394582,7.69139303654026,0.9614241295675325,23.92284455180655,184.0,23.0
